Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2020,Finland,2.71886E+11,49169.71934,5529543.0,10.2389679,..,96.47263336,Europe
2020,France,2.64742E+12,39179.74426,67571107.0,8.822711945,..,68.40949249,Europe
2020,French Polynesia,5792545871,19185.69777,301920.0,..,..,..,Oceania
2020,Gabon,15314577168,6680.08267,2292573.0,15.76399994,..,..,Africa
2020,"Gambia, The",1812170891,704.0304628,2573995.0,14.27600002,..,..,Africa
2020,Georgia,16010869216,4300.857013,3722716.0,12.06711292,..,71.31075287,Asia
2020,Germany,3.88773E+12,46749.47623,83160871.0,9.298440933,..,72.38941956,Europe
2020,Ghana,70043095504,2176.576218,32180401.0,13.62899971,..,18.64871979,Africa
2020,Gibraltar,..,..,32709.0,7.681000233,..,..,Europe
2020,Greece,1.8848E+11,17617.29151,10698599.0,7.539191723,..,143.3106842,Europe
